time,gpu_util,gpu_vram_mb,gpu_temp,cpu_pct,ram_pct,disk_read_mb_s,disk_write_mb_s
16:45:05,0,136.0,61.0,18,28,0.0,0.1
16:45:07,0,136.0,61.0,16,28,0.0,0.2
16:45:09,0,136.0,61.0,17,28,0.0,0.0
16:45:11,0,136.0,61.0,17,28,0.0,0.6
16:45:14,0,136.0,61.0,16,28,0.0,0.0
16:45:16,0,136.0,61.0,17,28,0.0,0.0
16:45:18,0,136.0,61.0,19,28,0.0,0.0
16:45:20,0,136.0,61.0,15,28,0.0,0.0
16:45:22,0,136.0,61.0,15,28,0.0,0.0
16:45:24,0,136.0,61.0,15,28,0.0,0.0
16:45:26,0,136.0,61.0,13,28,0.0,0.0
16:45:28,0,136.0,61.0,16,28,0.0,0.1
16:45:30,0,136.0,61.0,13,28,0.0,0.1
16:45:32,0,136.0,61.0,20,28,0.0,0.2
16:45:34,0,136.0,61.0,16,28,0.0,0.1
16:45:36,0,136.0,61.0,15,28,0.0,0.0
16:45:38,0,136.0,61.0,21,28,0.0,0.0
16:45:40,0,136.0,61.0,14,28,0.0,0.3
16:45:42,0,136.0,61.0,13,28,0.0,0.1
16:45:44,0,136.0,61.0,14,28,0.0,0.0
16:45:46,0,136.0,61.0,13,28,0.0,0.2
16:45:48,0,136.0,61.0,14,28,0.0,0.0
16:45:50,0,136.0,61.0,14,28,0.0,0.0
16:45:53,0,136.0,61.0,16,28,0.0,0.0
16:45:55,0,136.0,61.0,14,28,0.0,0.0
16:45:57,0,136.0,61.0,16,28,0.0,0.1
16:45:59,0,136.0,61.0,11,28,0.0,0.0
16:46:01,0,136.0,61.0,16,28,0.0,0.1
16:46:03,0,136.0,61.0,15,28,0.0,1.8
16:46:05,0,136.0,61.0,17,28,0.0,0.0
16:46:07,0,136.0,61.0,19,28,0.0,0.1
16:46:09,0,136.0,61.0,19,28,0.0,0.1
16:46:11,0,136.0,61.0,14,28,0.0,0.3
16:46:13,0,136.0,61.0,18,28,0.0,2.4
16:46:15,0,136.0,61.0,19,28,0.0,0.1
16:46:17,0,136.0,61.0,19,28,0.0,0.2
16:46:19,0,136.0,61.0,20,28,0.1,0.4
16:46:21,0,136.0,61.0,15,28,0.1,0.2
16:46:23,0,136.0,61.0,32,28,0.0,0.2
16:46:25,0,136.0,61.0,48,28,0.0,0.0
16:46:28,0,136.0,62.0,31,28,0.0,0.1
16:46:30,0,136.0,62.0,12,28,0.0,0.0
16:46:32,0,136.0,62.0,15,28,0.0,0.1
16:46:34,0,136.0,62.0,11,28,0.0,0.0
16:46:36,0,136.0,62.0,18,28,0.0,0.1
16:46:38,0,136.0,62.0,14,28,0.0,0.1
16:46:40,0,136.0,62.0,12,28,0.0,0.1
16:46:42,0,136.0,62.0,12,28,0.0,0.4
16:46:44,0,136.0,61.0,11,28,0.0,0.0
16:46:46,0,136.0,61.0,17,28,0.0,0.1
